codigo_a, codigo_b, nome, classe
2732,10,METRÔ ARTUR ALVIM / VL. REGINA,Diurno
2733,10,PQ. GUARANI / METRÔ ITAQUERA,Diurno
2734,10,JD. CAMPOS / METRÔ ITAQUERA,Diurno
2735,21,JD. SÃO FRANCISCO / METRÔ PENHA,Diurno
2735,10,JD. KERALUX / METRÔ PENHA,Diurno
273D,10,PQ. D. JOÃO NERY / METRÔ ARTUR ALVIM,Diurno
273F,10,VL. MARA / METRÔ ITAQUERA,Diurno
273G,21,JD. NOÊMIA / METRÔ ARTUR ALVIM,Diurno
273G,10,JD. HELENA / METRÔ ARTUR ALVIM,Diurno
273J,10,JD. ROMANO / METRÔ PENHA,Diurno
273L,10,CPTM JOSÉ BONIFÁCIO / METRÔ ARTUR ALVIM,Diurno
273N,41,ITAIM PAULISTA / METRÔ VL. MATILDE,Noturno
273N,10,CID. KEMEL II / METRÔ VL. MATILDE,Noturno
273R,42,JD. ROBRU / METRÔ ITAQUERA,Diurno
273R,10,JD. ROBRU / METRÔ ARTUR ALVIM,Diurno
273V,10,PARADA XV DE NOVEMBRO / METRÔ PENHA,Diurno
273X,10,JD. DAS OLIVEIRAS / METRÔ ARTUR ALVIM,Diurno
2740,10,PEDRA BRANCA / METRÔ SANTANA,Diurno
274P,10,PENHA / METRÔ VL. MARIANA,Diurno
2755,10,GUAIANASES / METRÔ PENHA,Diurno
2756,10,GUAIANASES / METRÔ PATRIARCA,Diurno
2762,10,ERMELINO MATARAZZO / METRÔ TATUAPÉ,Diurno
2765,10,VL. CISPER / METRÔ TATUAPÉ,Diurno
2766,41,JD. INDAIÁ / METRÔ ITAQUERA,Diurno
2766,10,JD. CAMARGO VELHO / METRÔ ITAQUERA,Diurno
2767,10,CID. PEDRO JOSÉ NUNES / METRÔ TATUAPÉ,Diurno
2769,10,JD. ROMANO / METRÔ TATUAPÉ,Diurno
2770,10,CPTM JOSÉ BONIFÁCIO / METRÔ VL. MATILDE,Diurno
2772,10,JD. NAZARÉ / METRÔ PENHA,Diurno
2780,10,JD. CAMARGO NOVO / METRÔ ITAQUERA,Diurno
278A,10,METRÔ SANTANA / PENHA  ,Diurno
297A,10,VL. SANTA MARIA / METRÔ BARRA FUNDA,Diurno
3001,10,ITAIM PAULISTA / TERM. SÃO MIGUEL,Diurno
3002,10,JD. MABEL / SÃO MIGUEL,Diurno
3003,10,JD. SÃO MARTINHO / CPTM VL. MARA/ITAIM,Diurno
3004,10,JD. SÃO MARTINHO / CPTM VL. MARA/ITAIM,Diurno
3006,21,ETEC GUAIANASES / CPTM GUAIANASES,Diurno
3006,10,JD. FANGANIELO / CPTM GUAIANASES,Diurno
3008,10,JD. MIRIAM / CPTM ITAIM PAULISTA,Diurno
3009,10,ITAIM PAULISTA / CPTM ITAIM PAULISTA,Diurno
3010,10,CEM. DA SAUDADE / TERM. A. E. CARVALHO,Diurno
3013,10,TERM. CID. TIRADENTES / METALÚRGICOS,Diurno
3015,10,JD. ROMANO / JD. MABEL,Diurno
3019,10,TERM. CID. TIRADENTES / VL. PAULISTA I,Diurno
3020,10,COHAB JOSÉ BONIFÁCIO  / SHOP. ARICANDUVA,Diurno
3021,10,PQ. BANCÁRIO / TERM. VL PRUDENTE,Diurno
3023,10,SHOP. ARICANDUVA / PQ. SÃO RAFAEL,Diurno
3024,10,VL. INDUSTRIAL / TERM. VL PRUDENTE,Diurno
3025,10,JD. WILMA FLOR / CPTM GUAIANASES,Diurno
3026,10,VL. IOLANDA II / CPTM GUAIANASES,Diurno
3027,10,CPTM GUAIANASES / SHOP. ARICANDUVA,Diurno
3029,10,JD. DAS ROSAS / METRÔ TATUAPÉ,Diurno
3031,10,JD. ALTO PAULISTANO / METRÔ ITAQUERA,Diurno
3032,10,TERM. VL. CARRÃO / CIRCULAR,Diurno
3033,10,GUAIANASES / SÃO MATEUS,Diurno
3046,10,VL. GUARANI / METRÔ TATUAPÉ,Diurno
3051,10,ERMELINO MATARAZZO / TERM. A. E. CARVALHO,Diurno
3053,10,JD. ITÁPOLIS / METRÔ BELÉM,Diurno
3054,10,JD. PALANQUE / HOSP. SAPOPEMBA,Diurno
3063,41,GUAIANASES / TERM. SÃO MATEUS,Diurno
3063,10,GUAIANASES / TERM. SÃO MATEUS,Diurno
3064,41,TERM. CID. TIRADENTES / STA. ETELVINA II B6,Diurno
3064,10,CID. TIRADENTES / CPTM GUAIANASES,Diurno
3069,10,JD. RECANTO VERDE SOL / TERM. SÃO MATEUS,Diurno
307C,10,CONJ. ENCOSTA NORTE / METRÔ ARTUR ALVIM,Diurno
3098,31,SÃO MATEUS / JD. ELIZABETH,Diurno
3098,10,JD. SÃO FRANCISCO / SHOP. ARICANDUVA,Diurno
3099,10,HOSP. SÃO MATEUS / JD. DA CONQUISTA,Diurno
3112,10,VL. INDUSTRIAL / METRÔ BELÉM,Diurno
311C,10,PQ. SÃO LUCAS / BOM RETIRO,Diurno
312N,10,TERM. CID. TIRADENTES / SÃO MIGUEL PAULISTA,Noturno
3134,10,SHOP. ARICANDUVA / METRÔ TAMANDUATEÍ,Diurno
3139,10,JD. VL. FORMOSA / PÇA. JOÃO MENDES,Diurno
3141,10,SÃO MATEUS / TERM. PQ. D. PEDRO II,Diurno
314J,10,PQ. STA. MADALENA / PÇA. ALMEIDA JR.,Diurno
314V,10,VL. EMA / PÇA. ALMEIDA JR.,Diurno
3160,10,TERM. VL. PRUDENTE / TERM. PQ. D. PEDRO II,Diurno
3161,10,JD. COLORADO / TERM. PQ. D. PEDRO II,Diurno
3206,10,METRÔ PENHA / CONJ. CHAPARRAL,Diurno
3301,10,TERM. SÃO MIGUEL / TERM. PQ. D. PEDRO II,Diurno
3390,10,SÃO MATEUS / TERM. PQ. D. PEDRO II,Diurno
3414,10,VL. DALILA / TERM. PQ. D. PEDRO II,Diurno
342C,10,JD. MARÍLIA / PENHA,Diurno
342M,10,TERM. SÃO MATEUS / TERM. PENHA,Diurno
342N,10,COHAB PRES. JUSCELINO KUBITSCHECK / E.T. ITAQUERA,Noturno
3459,24,ITAIM PAULISTA / TERM. PQ. D. PEDRO II,Diurno
3459,23,METRÔ BRESSER / ITAIM PAULISTA,Diurno
3459,21,CEM. DA SAUDADE / TERM. PQ. D. PEDRO II,Diurno
3459,10,ITAIM PAULISTA / TERM. PQ. D. PEDRO II,Diurno
3462,41,JD. VL. NOVA / METRÔ TATUAPÉ,Diurno
